seed,gain,method,steps,gradient_error,gradient_cosine,residual,fixed_point_distance,recurrence_error
42002,0.4,pc,32,0.5945852846224605,0.929490781853778,2.9068270071292894,5.614089277097833e-05,5.171269574290281e-16
42002,0.4,pc,128,0.5945890881609426,0.9294890481641437,2.9068457550416733,2.4756413970034256e-11,5.127775667202871e-16
42002,0.4,pc,512,0.5945890881618678,0.9294890481640634,2.9068457550428777,5.92678126021334e-16,5.92678126021334e-16
42002,0.4,pc,4096,0.5945890881618678,0.9294890481640634,2.9068457550428777,5.92678126021334e-16,5.92678126021334e-16
42002,0.4,alm_exact,8,0.3359912734268077,0.9735387109571298,1.8055935668683463,0.27141419169976394,5.370025342540722e-16
42002,0.4,alm_exact,32,0.01486028868535521,0.9999481009211078,0.08324865897827294,0.011461517852915097,5.21983119846903e-16
42002,0.4,alm_exact,128,6.088913128915423e-07,0.999999999999815,1.2971402620964938e-06,2.694874052811818e-07,5.437073311761371e-16
42002,0.4,alm_exact,512,9.031680966911016e-16,0.9999999999999998,8.6609100480318695e-16,5.67644836038878e-16,5.676528840653276e-16
42002,0.4,alm_exact,4096,9.099728939888877e-16,0.9999999999999998,8.674242010309942e-16,5.690204936382265e-16,5.690204936382265e-16
42002,0.4,alm_masked,8,0.33754034046688897,0.9720522194001875,1.7997711058775427,0.2694260383843567,5.227726983337412e-16
42002,0.4,alm_masked,32,0.06369063430436125,0.9980599887616756,0.08127592337580755,0.011237543348861736,4.4067501984438644e-16
42002,0.4,alm_masked,128,0.061530971326746585,0.9981079631331153,3.838040876744239e-07,4.4291087902870194e-08,4.580385828292656e-16
42002,0.4,alm_masked,512,0.06153096707573511,0.9981079633389343,9.582533953475736e-16,5.048064801668772e-16,5.048064952886984e-16
42002,0.4,alm_masked,4096,0.06153096707573509,0.9981079633389345,9.836429109547156e-16,5.041801708391235e-16,5.041801708391235e-16
42002,0.8,pc,8,0.6221326706315128,0.9204028427406968,2.9292217969141077,0.0167441510711158,4.2029386957398244e-16
42002,0.8,pc,32,0.6178880703052362,0.9182039739390081,2.9934648970084097,0.0006690414251133297,5.243685053292201e-16
42002,0.8,pc,128,0.6179159810360836,0.9181894162071148,2.9936456219080356,3.197793193937189e-08,5.447488768426894e-16
42002,0.8,pc,512,0.6179159821374828,0.9181894158837827,2.9936456250603727,8.4261819267665495e-16,8.426181925290647e-16
42002,0.8,pc,4096,0.6179159821374828,0.9181894158837827,2.9936456250603727,8.426080291688236e-16,8.426080291688236e-16
42002,0.8,alm_exact,8,0.36938412370494134,0.9668493834756142,1.8806418053837728,0.29075359669800044,4.067962658164447e-16
42002,0.8,alm_exact,32,0.0204507938773213,0.9998689521021111,0.1058432672116155,0.015119905648967882,3.876749153562421e-16
42002,0.8,alm_exact,128,3.3158104657521165e-05,0.9999999994503269,2.8883399470907282e-05,1.6310368915085192e-05,4.078409207354934e-16
42002,0.8,alm_exact,512,2.4353719175702363e-14,1.0,1.1254509865517023e-13,2.0730748897604256e-14,4.004319255645911e-16
42002,0.8,alm_exact,4096,7.771922211166378e-16,1.0,8.654488459664523e-16,4.4166199382085637e-16,4.4166199382085637e-16
42002,0.8,alm_masked,8,0.3790715444429388,0.9598037918423576,1.8650492181749438,0.28190045906520744,4.133119459015556e-16
42002,0.8,alm_masked,32,0.1403991438078703,0.9903523210117515,0.09277490215511025,0.012918902759169378,3.618643212064485e-16
42002,0.8,alm_masked,128,0.1385484392782156,0.990409873174254,4.9536988734494435e-06,5.629018088419248e-07,3.695775617739974e-16
42002,0.8,alm_masked,512,0.13854834593554108,0.9904098868196489,9.419340956995691e-16,4.453083664259103e-16,4.451591759844631e-16
42002,0.8,alm_masked,4096,0.13854834593554108,0.9904098868196493,9.484290400640597e-16,4.41852742248856e-16,4.41852742248856e-16
42003,0.4,pc,8,0.5956246819489879,0.9564487132601566,3.101913256517719,0.007449948426026778,4.210739574567431e-16
42003,0.4,pc,32,0.5908563850416815,0.9548446158021375,3.154194239306197,9.488285358763676e-05,4.864034731094241e-16
42003,0.4,pc,128,0.5908520996847777,0.9548421059614154,3.1542167693194183,4.992139783288e-11,4.648728590844842e-16
42003,0.4,pc,512,0.5908520996829539,0.9548421059606348,3.154216769325858,5.003688162346228e-16,5.003688162346228e-16
42003,0.4,pc,4096,0.5908520996829539,0.9548421059606348,3.154216769325858,5.003694128208311e-16,5.003694128208311e-16
42003,0.4,alm_exact,8,0.3205661600134231,0.9845291611256465,1.9329001418845349,0.2667644046855188,3.531482191051947e-16
42003,0.4,alm_exact,32,0.013378190058768181,0.9999738880074872,0.08405889488509838,0.010677795855339572,3.0865183897344116e-16
42003,0.4,alm_exact,128,1.1330673250823388e-06,0.9999999999993588,2.505471611911282e-06,6.416403856231939e-07,3.0386560548614293e-16
42003,0.4,alm_exact,512,6.019094573558819e-16,0.9999999999999997,1.2305732676371097e-15,3.588425837740259e-16,3.588453326992472e-16
42003,0.4,alm_exact,4096,5.946223859949531e-16,0.9999999999999997,1.2304950117853527e-15,3.5598003157046514e-16,3.5598003157046514e-16
42003,0.4,alm_masked,8,0.3219521162542889,0.9829150879575105,1.9378145182491682,0.26670668942441716,3.24732365784724e-16
42003,0.4,alm_masked,32,0.05682444998480704,0.99842174679258,0.08307924671162625,0.010629738915193735,2.978112939233994e-16
42003,0.4,alm_masked,128,0.05550498164634571,0.9984614172050253,1.886615234579806e-07,2.3597440842081538e-08,3.352050608660279e-16
42003,0.4,alm_masked,512,0.055504981301187487,0.9984614172708562,7.415207341150723e-16,3.7023295876937217e-16,3.702329567006024e-16
42003,0.4,alm_masked,4096,0.055504981301187487,0.9984614172708562,7.406111315403549e-16,3.695151532956908e-16,3.695151532956908e-16
42003,0.8,pc,8,0.5935031542021836,0.9557802040430511,3.0674138656396557,0.014459462627942366,3.702530040767412e-16
42003,0.8,pc,32,0.5874193823578552,0.9544706044084539,3.1220001393324495,0.0007949061072248909,4.511669278021869e-16
42003,0.8,pc,128,0.587361254919919,0.954446202419035,3.1222032222402585,2.7643840479074266e-08,4.386752693200635e-16
42003,0.8,pc,512,0.5873612530383906,0.954446201668565,3.122203227687443,6.007789577999561e-16,6.007789577739231e-16
42003,0.8,pc,4096,0.5873612530383906,0.954446201668565,3.122203227687443,6.007814392897223e-16,6.007814392897223e-16
42003,0.8,alm_exact,8,0.3204306992390696,0.9836874534991172,1.9029670687629956,0.26565930889265715,4.044967380712357e-16
42003,0.8,alm_exact,32,0.014955660276383217,0.9999424189568235,0.08821453731799106,0.011624347621871754,3.6290168807612305e-16
42003,0.8,alm_exact,128,2.585918957421707e-05,0.999999999665711,0.00012017218899719851,1.9947950862222287e-05,3.651479548848106e-16
