task,seed,method,budget,hidden_cosine,all_cosine,residual
linear,1202,pcalm,8,0.8418174817598925,0.7099301978581026,0.1384925957522084
linear,1202,pcalm,16,0.7994815792643424,0.7059050722235619,0.13524327451696178
linear,1202,pcalm,32,0.8299530246721692,0.7802181389466397,0.1044901276127159
linear,1203,pcalm,1,0.8266927455286666,0.45851079063726147,0.040997192291843294
linear,1203,pcalm,2,0.8360010006844003,0.5214145435752244,0.0670041357085212
linear,1203,pcalm,4,0.8424749614078197,0.6054671691401066,0.09598614070083443
linear,1203,pcalm,8,0.8364689644563378,0.675450437994066,0.11686842932291854
linear,1203,pcalm,16,0.8203578814599533,0.7293952577442467,0.11716003882770404
linear,1203,pcalm,32,0.8542827141634016,0.8219013366588814,0.08580544447979259
linear,1204,pcalm,1,0.8581219975034723,0.5829196294875653,0.048467948142843206
linear,1204,pcalm,2,0.8656549376803484,0.6009987374110319,0.08246013810588959
linear,1204,pcalm,4,0.8709948732104072,0.6108021058500965,0.12323223857633683
linear,1204,pcalm,8,0.8636230652892639,0.6449313396347686,0.1510790142171286
linear,1204,pcalm,16,0.8380889575516317,0.6978548458486175,0.14553103456831695
linear,1204,pcalm,32,0.8665303794819329,0.7858388188086209,0.10885300502056955
linear,1205,pcalm,1,0.871221573688607,0.4806858308450154,0.040996342298679975
linear,1205,pcalm,2,0.877821792110637,0.5433858438888526,0.07033570600723163
linear,1205,pcalm,4,0.882215415032459,0.6135048582225859,0.10670879635907775
linear,1205,pcalm,8,0.8752169134984389,0.674483296306592,0.13380413289985432
linear,1205,pcalm,16,0.853023133864409,0.7295743722709321,0.13170669711741603
linear,1205,pcalm,32,0.8792220290429335,0.824887647573269,0.09747499621884387
linear,1206,pcalm,1,0.8140226196018733,0.5218570808266418,0.04143214795020732
linear,1206,pcalm,2,0.8246328960990623,0.5555869196930101,0.07075696305444078
linear,1206,pcalm,4,0.8344657425265122,0.5832040269813276,0.10655535398993855
linear,1206,pcalm,8,0.8318088005184423,0.6158767826596733,0.13259357642846578
linear,1206,pcalm,16,0.8118181476648326,0.6656519035133132,0.13084259596413825
linear,1206,pcalm,32,0.8604804252685093,0.7896150265836615,0.0974541189843488
linear,1207,pcalm,1,0.8510586831306961,0.5582110956612888,0.037979715994232936
linear,1207,pcalm,2,0.8593302578258208,0.6001551029980626,0.0660101770288996
linear,1207,pcalm,4,0.8674398267535978,0.6571125389509535,0.10183710166994422
linear,1207,pcalm,8,0.8658399466450684,0.7104929551452853,0.12927464379865944
linear,1207,pcalm,16,0.8487136322787123,0.7491378714423633,0.1258205097462341
linear,1207,pcalm,32,0.8845575799552202,0.8352512593283599,0.09121273738725118
linear,1208,pcalm,1,0.8402048154689288,0.5174205873358999,0.040288807523043056
linear,1208,pcalm,2,0.848607063609747,0.5694207188377671,0.06689314423127045
linear,1208,pcalm,4,0.8556659850098092,0.638726525825908,0.09825806298669766
linear,1208,pcalm,8,0.8573988641524225,0.6869448302129288,0.12183056393457724
linear,1208,pcalm,16,0.8507296625427043,0.7337330710531722,0.12086994072167703
linear,1208,pcalm,32,0.8894007588240823,0.8347568445728498,0.09008127676637431
linear,1209,pcalm,1,0.8711634062385344,0.5513674139622856,0.051463118896150184
linear,1209,pcalm,2,0.878221778381013,0.5730795827595779,0.08390690123829429
linear,1209,pcalm,4,0.883730149112801,0.6236246834071357,0.1179840200129088
linear,1209,pcalm,8,0.876647343008436,0.6884913896647687,0.1376606706267688
linear,1209,pcalm,16,0.8450747164912389,0.7304293446816156,0.13331397468835213
linear,1209,pcalm,32,0.873657397651474,0.8221721924266934,0.10052362920163688
linear,1210,pcalm,1,0.895044956133188,0.6113099728397074,0.03237720647735627
linear,1210,pcalm,2,0.9003205286263802,0.652793389824662,0.05720709836206566
linear,1210,pcalm,4,0.9039622040760547,0.6989941748624622,0.09062433604826396
linear,1210,pcalm,8,0.8944787117478351,0.7203774589985308,0.1191234706497156
linear,1210,pcalm,16,0.8612198074625694,0.7421281737027358,0.12083051860773243
linear,1210,pcalm,32,0.8965518638559831,0.8440516316698948,0.08841773954116133
linear,1211,pcalm,1,0.7181415919720657,0.583185065516401,0.03728947260158179
linear,1211,pcalm,2,0.7362555742998468,0.6020527280759628,0.06402827201070091
linear,1211,pcalm,4,0.7559852408725147,0.6053597704382454,0.09729591021129601
linear,1211,pcalm,8,0.7617619367398598,0.5990108424133134,0.12248406251296315
linear,1211,pcalm,16,0.7629962996521685,0.6380806072685785,0.1198524431637834
linear,1211,pcalm,32,0.8322318406597056,0.7509581735001126,0.08817446166535639
linear,1212,pcalm,1,0.909407668533437,0.5347600692504628,0.038687839903534145
linear,1212,pcalm,2,0.9122939882176592,0.5937177241671112,0.06586590626610582
linear,1212,pcalm,4,0.9030491134358668,0.664218026458087,0.09994840739403946
linear,1212,pcalm,8,0.8618468730778553,0.7040593976539451,0.12874257681962012
linear,1212,pcalm,16,0.8147126726356305,0.7187814409628092,0.1277946910624586
linear,1212,pcalm,32,0.8478645093447011,0.7983052636113009,0.09161324630300847
linear,1213,pcalm,1,0.7901560781946725,0.4941075634464769,0.04601208405457026
linear,1213,pcalm,2,0.8020132917180732,0.5401680834309293,0.07586902668052158
linear,1213,pcalm,4,0.8071218549526754,0.5974666257785359,0.1092197873070759
linear,1213,pcalm,8,0.7831271813855067,0.6343021738459538,0.1323964646054449
linear,1213,pcalm,16,0.7503456629058008,0.6637663938068434,0.13147957493968293
