task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual
nonlinear,1100,shuffle,0.003,0.1,0.2,0.013563731702866377,0.9259426729986444,0.013923053869098272
nonlinear,1101,shuffle,0.003,0.1,0.2,0.017734573006515063,0.9668561919970671,0.016484412076087116
nonlinear,1102,shuffle,0.003,0.1,0.2,0.013692354298859058,1.0067236329996376,0.013366052803859652
nonlinear,1103,shuffle,0.003,0.1,0.2,0.021089193945543403,0.9789851940004155,0.018579723170717436
nonlinear,1104,shuffle,0.003,0.1,0.2,0.013201310069600842,0.9094536729971878,0.015451534450572357
nonlinear,1100,shuffle,0.003,0.1,0.5,0.014743632182323572,0.8665884839974751,0.012163598756256097
nonlinear,1101,shuffle,0.003,0.1,0.5,0.018301866591712655,0.8801263420027681,0.014443120094221391
nonlinear,1102,shuffle,0.003,0.1,0.5,0.014179178698165889,0.8484228570014238,0.011600182931789514
nonlinear,1103,shuffle,0.003,0.1,0.5,0.021103646211159132,0.9414345139994111,0.016371738143131562
nonlinear,1104,shuffle,0.003,0.1,0.5,0.014273939670374306,0.9732091119985853,0.013847404873702023
linear,1100,bp,0.0001,0.1,0.0,1.0784894326573167,0.1348868989989569,0.0
linear,1101,bp,0.0001,0.1,0.0,1.0819603629732208,0.14602346399988164,0.0
linear,1102,bp,0.0001,0.1,0.0,1.0683263146028912,0.1694967839976016,0.0
linear,1103,bp,0.0001,0.1,0.0,1.0396566790318038,0.1665513009975257,0.0
linear,1104,bp,0.0001,0.1,0.0,0.9593385545808428,0.16416728100011824,0.0
linear,1100,bp,0.0003,0.1,0.0,0.8721198300491647,0.14683148299809545,0.0
linear,1101,bp,0.0003,0.1,0.0,0.9088582996585667,0.15363403000083053,0.0
linear,1102,bp,0.0003,0.1,0.0,0.8837172968673276,0.15597113100011484,0.0
linear,1103,bp,0.0003,0.1,0.0,0.8382057984879207,0.13274899699899834,0.0
linear,1104,bp,0.0003,0.1,0.0,0.7911980202503717,0.17155630300112534,0.0
linear,1100,bp,0.0005,0.1,0.0,0.7741940902422814,0.15745018599773175,0.0
linear,1101,bp,0.0005,0.1,0.0,0.8211302245912382,0.15543203400011407,0.0
linear,1102,bp,0.0005,0.1,0.0,0.7891325649608755,0.12657476200183737,0.0
linear,1103,bp,0.0005,0.1,0.0,0.74466154360339,0.12817176099997596,0.0
linear,1104,bp,0.0005,0.1,0.0,0.7004380936183495,0.1257721779984422,0.0
linear,1100,bp,0.001,0.1,0.0,0.6577086571253571,0.13650128500012215,0.0
linear,1101,bp,0.001,0.1,0.0,0.6929865834372541,0.1306248310029332,0.0
linear,1102,bp,0.001,0.1,0.0,0.6558292145439752,0.14719044400044368,0.0
linear,1103,bp,0.001,0.1,0.0,0.6304994476917969,0.13032752899744082,0.0
linear,1104,bp,0.001,0.1,0.0,0.5835765207700506,0.12663592399985646,0.0
linear,1100,bp,0.002,0.1,0.0,0.5527613617968642,0.12722296499850927,0.0
linear,1101,bp,0.002,0.1,0.0,0.557223826445523,0.12560956199740758,0.0
linear,1102,bp,0.002,0.1,0.0,0.534306989367872,0.124220501002128,0.0
linear,1103,bp,0.002,0.1,0.0,0.5201953278597097,0.1278011449976475,0.0
linear,1104,bp,0.002,0.1,0.0,0.4920377727880847,0.13324238499990315,0.0
linear,1100,bp,0.003,0.1,0.0,0.4879375390140912,0.13887610199890332,0.0
linear,1101,bp,0.003,0.1,0.0,0.48792558543042897,0.1324021670006914,0.0
linear,1102,bp,0.003,0.1,0.0,0.47099681300143253,0.14300449399888748,0.0
linear,1103,bp,0.003,0.1,0.0,0.4599605992261712,0.12457064399859519,0.0
linear,1104,bp,0.003,0.1,0.0,0.4509859501079508,0.1291918880015146,0.0
linear,1100,bp,0.006,0.1,0.0,0.4166057389357245,0.13242224399800762,0.0
linear,1101,bp,0.006,0.1,0.0,0.41178279650021493,0.12693028899957426,0.0
linear,1102,bp,0.006,0.1,0.0,0.39620963774802465,0.14364721599849872,0.0
linear,1103,bp,0.006,0.1,0.0,0.3825349083355049,0.1484005749989592,0.0
linear,1104,bp,0.006,0.1,0.0,0.37998047662906753,0.1268138329978683,0.0
linear,1100,bp,0.01,0.1,0.0,0.38716271291514587,0.12473782199958805,0.0
linear,1101,bp,0.01,0.1,0.0,0.3926084996447825,0.12385465899933479,0.0
linear,1102,bp,0.01,0.1,0.0,0.3748379653291701,0.12348701899827574,0.0
linear,1103,bp,0.01,0.1,0.0,0.3341090757617231,0.1258394610013056,0.0
linear,1104,bp,0.01,0.1,0.0,0.345683127891897,0.1243549200007692,0.0
linear,1100,pc,0.0005,0.05,0.0,0.7757026784051432,0.8862893879995681,0.10941436451885389
linear,1101,pc,0.0005,0.05,0.0,0.8045003596934147,0.879599951000273,0.12638758068814182
