task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual,test_mse,r2,noisy_input_mse,initial_test_mse
linear,1210,pcalm,0.003,0.05,0.2,0.5556056744935721,0.8669371830001182,0.07584552172294075,0.544897298904437,0.47244219808880816,0.5723761341747643,1.2344300668182617
linear,1211,pcalm,0.003,0.05,0.2,0.5144220940238228,0.8650635209996835,0.07127322660811815,0.5274942941210577,0.45363417288765917,0.5480175515428701,1.2623664796642393
linear,1212,pcalm,0.003,0.05,0.2,0.5376502648498535,0.8265998030001356,0.08150605385036758,0.5444518165432659,0.46536296741898164,0.5658010929352766,1.2753160373018382
linear,1213,pcalm,0.003,0.05,0.2,0.560152728641783,0.8371446620003553,0.07757116250856909,0.5596285219309186,0.405232552526933,0.5828355448384838,1.3396520978542614
linear,1214,pcalm,0.003,0.05,0.2,0.5117741158641779,0.8677100240020081,0.07536498416140905,0.4977033943211741,0.48854966150398904,0.518042196490502,1.2210208640497369
linear,1215,pcalm,0.003,0.05,0.2,0.6026623636470034,0.9427653299972008,0.07635328546100018,0.5787556639057161,0.4500767016593611,0.6013562084147802,1.3531759601730513
linear,1216,pcalm,0.003,0.05,0.2,0.5371624821332007,0.8895959829969797,0.07031794550147485,0.5854388167063143,0.4372224935404264,0.6051523501251778,1.4344518621314737
linear,1217,pcalm,0.003,0.05,0.2,0.4747964661528954,0.8660877069996786,0.06954873986295151,0.5109422853097997,0.4890500093316762,0.5395096486419516,1.2781400618225416
linear,1218,pcalm,0.003,0.05,0.2,0.5574950767693513,0.8237444820006203,0.0742805881946992,0.5835713258892339,0.4207141743920947,0.609685019648035,1.316023050105071
linear,1219,pcalm,0.003,0.05,0.2,0.651565976112655,0.9463218799974129,0.07210585482427102,0.6681576878891451,0.36367029156736264,0.6907129999130893,1.3948560950466493
linear,1200,shuffle,0.003,0.05,0.2,0.5090743177876751,0.8758941529995354,0.07180253049172391,0.4991090581141018,0.5106150502435589,0.5189293640383762,1.2748265252348865
linear,1201,shuffle,0.003,0.05,0.2,0.6169950966460324,0.8781861509996816,0.07750941755214766,0.6057490569830313,0.3819536749868977,0.6298628266392788,1.2356421388832803
linear,1202,shuffle,0.003,0.05,0.2,0.5683517555833909,0.9185841050020827,0.07465297814887936,0.570714072851866,0.39134430508509144,0.5903059501269109,1.3674797700783223
linear,1203,shuffle,0.003,0.05,0.2,0.571986641223438,0.9106480769987684,0.07458633804232978,0.5645147081827683,0.4200841017182464,0.5780241316043319,1.2865031267484086
