pre,post,synapses,pre_layer,post_layer
31440,10082,928,2,2
10098,10115,878,2,2
10231,13271,849,0,1
22607,10353,737,2,1
13271,11367,727,1,1
10082,11654,589,2,1
10719,11367,566,1,1
10421,10364,556,1,1
12323,10247,545,2,3
11133,10001,537,3,3
10480,13271,490,0,1
10353,11654,488,1,1
12018,10719,483,2,1
10998,10247,480,2,3
12262,10131,478,2,3
10494,10234,478,2,3
47042,10247,469,2,3
10879,10558,468,1,3
10998,10131,468,2,3
11240,523512,466,2,1
10476,523528,461,0,1
10353,22607,459,1,2
11654,10353,458,1,1
10297,10584,449,2,3
21568,10558,435,1,3
10172,10364,429,1,1
10372,13125,427,0,1
11240,10421,419,2,1
22607,523672,410,2,2
12262,10247,404,2,3
12215,10082,404,1,2
11927,10115,403,1,2
12018,10353,403,2,1
12018,21568,401,2,1
11367,12018,396,1,2
11367,13271,393,1,1
14551,10353,390,2,1
11601,13080,386,1,1
10172,10234,380,1,3
10558,10247,372,3,3
10998,12262,368,2,2
10372,13367,367,0,1
12323,10131,367,2,3
10445,520606,367,0,1
11240,10172,364,2,1
10364,11240,364,1,2
47042,10131,361,2,3
12507,21568,359,2,1
10445,10364,354,0,1
10372,13080,347,0,1
10579,555383,346,0,2
21568,11367,340,1,1
11675,10082,339,2,2
10234,10247,336,3,3
11601,10353,334,1,1
10297,10283,329,2,3
25772,11367,328,0,1
13111,11601,327,2,1
10719,10082,327,1,2
11118,10056,326,2,3
11118,10045,325,2,3
523672,11532,322,2,1
523385,10115,317,2,2
12769,10082,317,2,2
14551,10719,316,2,1
12262,10998,311,2,2
11601,12423,310,1,1
10398,12276,310,0,1
523672,10898,309,2,1
13080,10719,309,1,1
22607,11883,307,2,1
10494,10228,306,2,3
10297,10923,305,2,3
10421,10115,300,1,2
10719,10558,300,1,3
22607,12262,297,2,2
12276,10421,293,1,1
10579,12276,292,0,1
21568,12018,288,1,2
10329,10056,288,2,3
10867,10558,281,2,3
10867,10584,281,2,3
555383,10228,279,2,3
10896,10867,279,0,2
12215,10001,278,1,3
10172,11240,277,1,2
10558,10131,277,3,3
10896,13080,276,0,1
10421,10234,276,1,3
524521,10583,275,1,2
11018,10172,272,1,1
10353,14789,271,1,1
11727,10879,270,2,1
10372,12018,270,0,2
10234,10131,267,3,3
13111,532050,265,2,3
25648,11367,261,0,1
22435,11367,256,0,1
21568,10283,256,1,3
10329,10045,255,2,3
21568,12323,254,1,2
10609,22607,253,1,2
11762,11017,250,1,1
10364,10172,245,1,1
25742,11367,242,0,1
10476,11367,241,0,1
11883,10082,240,1,2
10115,10421,240,2,1
10398,11240,240,0,2
10172,522346,239,1,1
10896,523672,239,0,2
10248,523512,238,0,1
10879,10584,238,1,3
10082,10719,238,2,1
522346,10448,237,1,1
26808,11367,234,0,1
10644,11043,233,1,2
26349,11367,228,0,1
12628,10283,227,3,3
34123,11367,226,0,1
25423,11367,224,0,1
10098,10417,223,2,3
10224,10364,222,1,1
10172,47042,221,1,2
33650,11367,221,0,1
555383,10234,221,2,3
10241,11367,219,1,1
25013,10364,218,0,1
11133,10923,217,3,3
10998,10274,217,2,3
10998,12587,217,2,3
10998,10281,216,2,3
31440,10283,215,2,3
11017,522346,214,1,1
11367,21568,213,1,1
10995,10364,211,1,1
103072,10364,211,0,1
10091,10417,210,3,3
10609,11367,210,1,1
14551,11675,209,2,2
11018,10494,209,1,2
11240,10494,209,2,2
520606,10172,207,1,1
517374,10364,207,0,1
10448,11927,206,1,1
21568,11762,205,1,1
11727,21568,205,2,1
21568,13125,204,1,1
10995,10172,204,1,1
10082,10297,204,2,2
26448,10364,203,0,1
521375,11675,202,2,2
11927,10228,201,1,3
38591,10364,200,0,1
10131,10301,198,3,3
523528,10719,197,1,1
10353,15266,197,1,1
13080,13125,197,1,1
14833,10421,196,0,1
10558,10281,196,3,3
12262,12587,196,2,3
10372,10583,196,0,2
523528,21568,194,1,1
12018,10995,194,2,1
12507,10879,192,2,1
10480,10583,192,0,2
12262,10274,192,2,3
11017,12444,191,1,2
10234,10281,191,3,3
12018,10879,190,2,1
12262,10281,189,2,3
12041,10283,189,2,3
14551,10879,187,2,1
517329,10364,187,0,1
11017,12215,187,1,1
10579,10448,186,0,1
10082,21568,185,2,1
521375,10329,185,2,2
10241,11762,184,1,1
11118,10301,184,2,3
13111,22607,184,2,2
526395,10364,181,0,1
21568,13367,179,1,1
11601,523672,179,1,2
11055,13271,179,0,1
13080,13367,175,1,1
11927,10417,175,1,3
10082,15266,174,2,1
10131,256420,174,3,3
10867,11017,174,2,1
13367,21568,173,1,1
10241,12444,172,1,2
10609,21568,171,1,1
10329,10301,171,2,3
24994,10364,170,0,1
11055,11883,168,0,1
10448,11762,167,1,1
10172,10417,166,1,3
10082,14789,166,2,1
10329,256420,165,2,3
10780,10417,165,2,3
22646,10364,164,0,1
13080,12018,164,1,2
10224,522346,164,1,1
11601,13111,164,1,2
10234,10274,164,3,3
555383,10448,164,2,1
11762,523528,164,1,1
521375,12628,163,2,3
11675,10329,163,2,2
11927,47042,162,1,2
10297,10001,161,2,3
22607,11367,161,2,1
22607,13111,161,2,2
10248,11240,160,0,2
13080,523672,160,1,2
11367,12041,160,1,2
11883,11367,160,1,1
15266,22607,160,1,2
12507,10353,158,2,1
12525,11675,157,2,2
11727,12444,157,2,2
10364,10780,157,1,2
11601,10879,157,1,1
12587,10247,157,3,3
10241,14551,157,1,2
10558,10274,157,3,3
10896,11017,156,0,1
11118,256420,155,2,3
11018,12020,155,1,2
11240,10609,155,2,1
523672,11601,155,2,1
524521,12018,154,1,2
10609,11654,154,1,1
13367,10719,153,1,1
10476,11762,152,0,1
11727,10719,151,2,1
10398,11043,151,0,2
13125,21568,150,1,1
12507,10297,149,2,2
10879,10283,148,1,3
10448,12020,148,1,2
12885,12587,148,3,3
22607,10558,146,2,3
521375,10283,146,2,3
523672,10241,146,2,1
31440,11133,145,2,3
10867,11727,145,2,2
11367,12444,145,1,2
10098,10580,144,2,3
10283,10001,143,3,3
523385,11118,143,2,2
12444,10867,142,2,2
555383,11018,142,2,1
12628,10001,142,3,3
11367,520188,142,1,2
11055,523528,141,0,1
10251,11043,140,0,2
13125,10719,140,1,1
523528,10583,140,1,2
12215,10283,139,1,3
522346,520606,139,1,1
14833,10224,139,0,1
10224,12020,139,1,2
520606,10421,138,1,1
12018,10583,138,2,2
12423,10719,138,1,1
12215,10584,136,1,3
12215,12323,136,1,2
10421,522346,135,1,1
15266,10082,135,1,2
10241,12041,135,1,2
14551,13080,134,2,1
10364,12020,134,1,2
10372,10353,133,0,1
11018,12444,132,1,2
11654,12525,130,1,2
522346,10098,130,1,2
14789,10082,129,1,2
12587,10131,128,3,3
11762,31440,128,1,2
10719,11762,128,1,1
12276,11240,127,1,2
14789,22607,127,1,2
10936,520606,127,0,1
12423,12444,127,1,2
10115,10364,127,2,1
10115,10172,127,2,1
523528,11017,126,1,1
10241,12018,126,1,2
11601,520188,124,1,2
10398,523512,124,0,1
10609,13271,124,1,1
12769,10283,123,2,3
13271,10231,123,1,0
15306,12587,122,3,3
12020,555383,122,2,2
10780,10580,121,2,3
12262,10898,120,2,1
10584,10923,120,3,3
10056,10045,119,3,3
11601,10719,119,1,1
10045,10056,119,3,3
10896,13271,119,0,1
10445,522346,118,0,1
10364,11125,118,1,2
31440,12628,117,2,3
12423,523672,117,1,2
10224,11240,117,1,2
11018,10421,117,1,1
521375,10082,116,2,2
10609,12018,116,1,2
11727,12525,116,2,2
10098,10091,116,2,3
524521,11043,115,1,2
14551,10283,115,2,3
12957,523528,115,0,1
10719,13125,115,1,1
523672,532050,114,2,3
21568,10995,113,1,1
523528,523672,113,1,2
10995,21568,113,1,1
11018,21568,112,1,1
10494,10417,112,2,3
10251,10609,111,0,1
12041,12628,110,2,3
10719,13367,110,1,1
21568,23112,109,1,2
532050,10131,108,3,3
10780,10228,108,2,3
25772,13367,108,0,1
15266,10995,107,1,1
10082,11367,107,2,1
11240,11043,107,2,2
10719,12018,106,1,2
10480,23112,106,0,2
12957,10241,106,0,1
13367,12323,106,1,2
10241,10558,105,1,3
12041,10001,105,2,3
10247,12587,105,3,3
12041,10584,104,2,3
10719,12444,104,1,2
10082,22607,104,2,2
10609,10558,104,1,3
10644,10448,104,1,1
10995,11240,104,1,2
10995,11654,104,1,1
10353,11601,103,1,1
21568,10082,103,1,2
524521,23112,103,1,2
15266,11654,103,1,1
10936,10228,102,0,3
14789,10879,102,1,1
10228,10274,102,3,3
10719,23112,102,1,2
10476,10583,102,0,2
10644,11240,101,1,2
10228,10281,101,3,3
26808,13125,101,0,1
10251,10224,101,0,1
21568,10329,101,1,2
524521,11017,100,1,1
523672,22607,100,2,2
10609,12423,99,1,1
12525,523385,99,2,2
10231,12041,98,0,2
524521,22607,98,1,2
10584,10281,98,3,3
10609,10172,98,1,1
11654,10879,98,1,1
12488,12020,97,1,2
25423,13125,97,0,1
11018,10879,97,1,1
34123,13367,97,0,1
520606,11043,97,1,2
11762,12423,97,1,1
11727,523672,97,2,2
10995,10353,96,1,1
10091,10283,96,3,3
10609,10353,96,1,1
11727,10172,96,2,1
12262,12885,95,2,3
12041,11133,95,2,3
11532,12423,95,1,1
10241,523528,95,1,1
10421,10228,95,1,3
25772,13125,94,0,1
555383,10609,94,2,1
10364,47042,94,1,2
12020,11125,93,2,2
15306,10247,93,3,3
14789,10995,93,1,1
26349,13125,93,0,1
33650,13125,92,0,1
10867,10995,92,2,1
10421,11240,92,1,2
520606,10448,92,1,1
13125,523672,91,1,2
10353,523672,91,1,2
25742,10353,91,0,1
10172,10609,90,1,1
12276,10224,90,1,1
10780,10091,90,2,3
11507,10234,90,1,3
31440,10584,90,2,3
23112,10558,89,2,3
34123,13125,89,0,1
10998,10898,89,2,1
10224,10234,89,1,3
524521,520188,89,1,2
12018,10082,89,2,2
14789,11654,89,1,1
11927,10780,89,1,2
13080,14551,89,1,2
10231,23112,88,0,2
532050,10281,88,3,3
11367,12323,87,1,2
11727,12020,87,2,2
25648,13125,87,0,1
10297,10558,87,2,3
12525,10879,87,2,1
523512,10364,86,1,1
11017,31440,86,1,2
14551,523672,86,2,2
12423,13125,86,1,1
10248,11043,86,0,2
10172,11118,85,1,2
10353,11367,85,1,1
13271,555383,85,1,2
10364,10098,85,1,2
10998,15306,85,2,3
523528,12444,85,1,2
10098,10228,85,2,3
12020,10780,85,2,2
13125,10329,85,1,2
25772,13080,84,0,1
11762,23112,84,1,2
10494,11018,84,2,1
10584,10274,84,3,3
11601,22607,84,1,2
12957,12215,83,0,1
11043,10056,83,2,3
13367,523672,83,1,2
22435,10353,81,0,1
10241,12769,81,1,2
12423,12018,81,1,2
10867,12423,81,2,1
25648,10995,80,0,1
520606,12020,80,1,2
10879,11727,80,1,2
12444,12041,80,2,2
11762,520188,80,1,2
11043,10045,80,2,3
10448,522346,79,1,1
10644,10583,79,1,2
21568,521375,79,1,2
10297,10329,79,2,2
26349,13367,78,0,1
10995,523512,78,1,1
25648,13080,78,0,1
10241,11727,78,1,2
12215,12041,78,1,2
13271,10609,78,1,1
10480,10995,78,0,1
10247,10301,78,3,3
12444,10879,78,2,1
532050,10247,78,3,3
12444,11727,77,2,2
14551,10584,77,2,3
10583,10056,77,2,3
10936,523528,77,0,1
10867,10283,77,2,3
21568,12444,77,1,2
13125,11017,77,1,1
11018,12525,77,1,2
10896,11532,76,0,1
10224,10780,76,1,2
22435,13125,76,0,1
11055,13367,76,0,1
12215,11133,76,1,3
10224,10228,76,1,3
12262,15306,76,2,3
10045,10898,75,3,1
10879,12525,75,1,2
14551,31440,75,2,2
14551,21568,75,2,1
10098,10998,75,2,2
26349,10353,75,0,1
12444,31440,74,2,2
10091,10001,74,3,3
10353,532050,74,1,3
22646,523512,74,0,1
25423,13080,74,0,1
10879,12507,74,1,2
13080,10241,74,1,1
25772,10995,73,0,1
33650,13367,73,0,1
522346,11125,73,1,2
33650,10995,73,0,1
10995,11125,73,1,2
25772,10353,73,0,1
12587,256420,73,3,3
12041,10082,72,2,2
25423,13367,72,0,1
34123,10995,72,0,1
15266,14551,72,1,2
12488,11240,72,1,2
12423,13367,72,1,1
11654,521375,72,1,2
13367,11017,72,1,1
11927,10234,72,1,3
12507,520188,71,2,2
13111,10329,71,2,2
26808,13080,71,0,1
10448,12444,71,1,2
10719,12041,71,1,2
12957,10224,71,0,1
10480,10241,71,0,1
10421,12020,70,1,2
10867,21568,70,2,1
11017,11762,70,1,1
11727,10494,70,2,2
31440,12262,70,2,2
532050,10274,70,3,3
517329,523512,70,0,1
10609,11532,70,1,1
12018,10558,70,2,3
21568,10584,69,1,3
10231,11303,69,0,1
12215,10923,69,1,3
10421,10780,69,1,2
11303,523672,69,1,2
12957,520606,69,0,1
22435,13080,69,0,1
10995,12488,68,1,1
555383,12488,68,2,1
10780,12628,68,2,3
523528,12423,68,1,1
10879,12444,68,1,2
11654,13111,68,1,2
524521,11654,68,1,1
524521,13125,68,1,1
11927,10580,68,1,3
22607,12525,68,2,2
11532,13080,68,1,1
10494,10364,68,2,1
11017,11927,67,1,1
10494,12020,67,2,2
10998,12885,67,2,3
31440,10580,67,2,3
10098,11133,67,2,3
10644,11125,67,1,2
520188,10719,67,2,1
11532,520188,67,1,2
12628,10417,67,3,3
12020,10098,66,2,2
10241,10584,66,1,3
10609,520188,66,1,2
10896,12423,66,0,1
21568,11727,66,1,2
22607,11532,66,2,1
10091,10580,66,3,3
11762,10448,66,1,1
13367,10329,66,1,2
12957,10283,66,0,3
522346,12488,66,1,1
15266,10879,66,1,1
12587,10301,65,3,3
26349,13080,64,0,1
10115,10494,64,2,2
10995,10879,64,1,1
12018,523672,64,2,2
26808,13367,64,0,1
15306,10131,64,3,3
10283,10584,64,3,3
22435,13367,64,0,1
10780,11133,64,2,3
10867,10353,64,2,1
10867,13080,64,2,1
11507,10558,64,1,3
15266,12444,64,1,2
11601,10995,64,1,1
12041,10580,64,2,3
25423,10353,64,0,1
10241,10283,63,1,3
11532,523672,63,1,2
10448,10297,63,1,2
11017,12041,63,1,2
11654,523672,63,1,2
10609,523512,63,1,1
12276,522346,63,1,1
11762,10558,63,1,3
10867,523672,62,2,2
25742,13080,62,0,1
10172,10115,62,1,2
10224,11043,62,1,2
12507,10898,62,2,1
13271,10995,62,1,1
12276,12020,62,1,2
25648,13367,62,0,1
33650,10353,62,0,1
33650,13080,62,0,1
22435,10995,62,0,1
26349,10995,61,0,1
26808,10353,61,0,1
10417,10283,61,3,3
10936,10417,61,0,3
522346,12020,61,1,2
12885,10131,61,3,3
10995,10234,61,1,3
10719,11727,61,1,2
14551,10082,61,2,2
13080,11762,60,1,1
10098,12628,60,2,3
523385,523512,60,2,1
12525,10494,60,2,2
10609,523672,60,1,2
10274,10301,60,3,3
12769,10115,60,2,2
11055,22607,60,0,2
10580,10001,60,3,3
10224,520606,60,1,1
11303,10234,60,1,3
10609,23112,59,1,2
11883,12507,59,1,2
10224,10417,59,1,3
13367,10353,59,1,1
520188,10241,59,2,1
10995,523672,59,1,2
10879,11601,59,1,1
520606,11125,59,1,2
10719,11601,59,1,1
11601,10867,58,1,2
12020,11018,58,2,1
15266,14789,58,1,1
10583,10045,58,2,3
11601,13125,58,1,1
522346,10172,58,1,1
11675,10353,58,2,1
10224,523385,58,1,2
11532,10241,58,1,1
524521,13367,58,1,1
10421,11018,58,1,1
11017,13367,58,1,1
25742,13125,58,0,1
25742,10995,58,0,1
13125,12323,58,1,2
12507,10719,57,2,1
12507,11532,57,2,1
11675,11507,57,2,1
11654,10329,57,1,2
10281,10301,57,3,3
13111,12628,57,2,3
11367,31440,57,1,2
10780,10115,57,2,2
14789,521375,57,1,2
10082,10879,57,2,1
10421,47042,57,1,2
26808,10995,57,0,1
13111,10082,56,2,2
11601,12215,56,1,1
25648,10353,56,0,1
12885,10247,56,3,3
11017,13125,56,1,1
12488,10421,56,1,1
14833,10494,56,0,2
21568,12041,56,1,2
10224,11018,56,1,1
555383,10417,56,2,3
11367,523672,56,1,2
10131,12587,56,3,3
10879,11367,56,1,1
10297,14551,56,2,2
13080,12444,55,1,2
10417,10228,55,3,3
520188,21568,55,2,1
523385,11303,55,2,1
521375,523672,55,2,2
11532,10896,55,1,0
520606,523512,54,1,1
10241,11675,54,1,2
520606,12276,54,1,1
12628,11133,54,3,3
10274,256420,54,3,3
34123,13080,54,0,1
25013,523512,54,0,1
12444,520188,54,2,2
11133,10274,54,3,3
10353,21568,54,1,1
517374,523512,54,0,1
13271,12444,54,1,2
15266,521375,54,1,2
10283,12628,53,3,3
24994,523512,53,0,1
10247,256420,53,3,3
522346,11017,53,1,1
11727,10867,53,2,2
11125,10421,53,2,1
10644,10172,53,1,1
11601,11017,52,1,1
11601,10329,52,1,2
10172,10228,52,1,3
10898,520188,52,1,2
12525,21568,52,2,1
103072,523512,52,0,1
10719,12525,52,1,2
10494,10115,52,2,2
21568,12525,52,1,2
23112,10584,51,2,3
14789,15266,51,1,1
10879,11762,51,1,1
11125,10172,51,2,1
12020,10448,51,2,1
11727,10241,51,2,1
10283,10091,51,3,3
10251,13271,51,0,1
555383,10172,51,2,1
526395,523512,51,0,1
11883,11727,51,1,2
11133,10281,51,3,3
11018,523512,51,1,1
521375,11133,51,2,3
11727,13111,50,2,2
10417,10091,50,3,3
523528,11675,50,1,2
103072,10609,50,0,1
10172,11018,50,1,1
22646,10609,50,0,1
38591,523512,50,0,1
11727,11675,49,2,2
12041,10091,49,2,3
12525,532050,49,2,3
10480,10329,49,0,2
520606,523672,49,1,2
34123,10353,49,0,1
523528,13080,49,1,1
12769,12323,49,2,2
12444,523672,49,2,2
522346,10234,49,1,3
25013,10609,49,0,1
10936,10283,49,0,3
10898,10879,48,1,1
10898,10241,48,1,1
11240,10115,48,2,2
38591,10609,48,0,1
10879,521375,48,1,2
523528,12262,48,1,2
11055,11601,48,0,1
10936,11927,48,0,1
10936,14833,48,0,0
11762,12444,48,1,2
12020,10494,48,2,2
10583,11532,48,2,1
10283,10417,47,3,3
11927,10082,47,1,2
15266,10241,47,1,1
12957,10584,47,0,3
12957,11017,47,0,1
12215,10558,47,1,3
10281,256420,47,3,3
12957,10228,47,0,3
12018,10241,47,2,1
520606,12488,47,1,1
10241,10583,47,1,2
10353,12018,47,1,2
10172,12020,47,1,2
10995,12276,47,1,1
12507,10241,47,2,1
11883,13125,47,1,1
13111,10353,46,2,1
10579,10644,46,0,1
25742,13367,46,0,1
11507,523672,46,1,2
14551,10241,46,2,1
11367,10353,46,1,1
523385,11507,46,2,1
26448,10609,46,0,1
10494,522346,46,2,1
22435,13271,46,0,1
10448,12215,46,1,1
11125,10224,46,2,1
10131,10045,46,3,3
11675,11303,46,2,1
10609,13080,46,1,1
11303,10558,45,1,3
14551,12041,45,2,2
10579,12488,45,0,1
12018,12525,45,2,2
10923,10297,45,3,2
11055,12323,45,0,2
10417,10923,45,3,3
10995,11043,45,1,2
22607,11017,45,2,1
10098,12885,45,2,3
12423,13271,45,1,1
13080,12323,45,1,2
12957,12041,45,0,2
12020,10234,45,2,3
10898,523672,45,1,2
10580,10091,45,3,3
10879,10082,45,1,2
523528,11303,45,1,1
11240,10234,45,2,3
13125,10353,44,1,1
10609,10583,44,1,2
11018,13111,44,1,2
11532,11367,44,1,1
10372,14551,44,0,2
10583,11017,44,2,1
10936,10448,44,0,1
523528,11507,44,1,1
11762,11654,44,1,1
12957,11762,44,0,1
23112,523672,44,2,2
10353,11883,44,1,1
555383,11303,44,2,1
11727,10353,44,2,1
14833,10172,44,0,1
22607,12423,44,2,1
526395,10609,44,0,1
14789,14551,43,1,2
14789,11675,43,1,2
10172,10995,43,1,1
10353,12423,43,1,1
10131,10056,43,3,3
22646,12276,43,0,1
10241,13111,43,1,2
11507,12444,43,1,2
11883,10283,43,1,3
523528,10353,43,1,1
11240,10224,43,2,1
11018,523672,43,1,2
523528,13111,43,1,2
10448,10098,43,1,2
10644,47042,43,1,2
11927,12215,43,1,1
12423,11883,43,1,1
10248,11507,43,0,1
10896,12018,43,0,2
10353,10241,42,1,1
13271,10867,42,1,2
11018,10224,42,1,1
11017,12020,42,1,2
523528,11654,42,1,1
10936,10584,42,0,3
13080,10353,42,1,1
520606,11507,42,1,1
523385,15306,42,2,3
521375,10353,42,2,1
10583,10898,42,2,1
520188,10297,42,2,2
13125,23112,42,1,2
10644,10224,41,1,1
25423,10995,41,0,1
13125,13367,41,1,1
11601,14551,41,1,2
12041,12262,41,2,2
517374,10609,41,0,1
10719,10584,41,1,3
520188,12444,41,2,2
11017,10780,41,1,2
31440,12885,41,2,3
10898,21568,41,1,1
31440,10001,41,2,3
11018,10719,41,1,1
10896,10898,41,0,1
11303,11017,41,1,1
523512,11240,41,1,2
38591,12276,41,0,1
521375,11654,41,2,1
11367,10583,41,1,2
10609,10297,41,1,2
12215,523672,41,1,2
10421,14833,41,1,0
12769,12628,41,2,3
12423,14551,40,1,2
12423,10241,40,1,1
11883,13367,40,1,1
10283,10923,40,3,3
13111,10867,40,2,2
10879,13367,40,1,1
13080,11367,40,1,1
11601,12262,40,1,2
12444,10353,40,2,1
10248,11303,40,0,1
31440,10091,40,2,3
13271,11017,40,1,1
520606,12444,40,1,2
10609,12276,40,1,1
10115,10234,40,2,3
22607,10995,40,2,1
11727,10283,40,2,3
11303,12423,40,1,1
24994,12276,39,0,1
10353,10719,39,1,1
10995,12423,39,1,1
10995,13080,39,1,1
103072,12276,39,0,1
11675,12885,39,2,3
21568,10867,39,1,2
12276,10364,39,1,1
524521,10448,39,1,1
10896,524521,39,0,1
523512,10172,39,1,1
11017,11118,39,1,2
11017,12769,39,1,2
11240,520606,39,2,1
11762,12041,39,1,2
10241,523672,38,1,2
11507,10417,38,1,3
14789,12444,38,1,2
11507,523512,38,1,1
10580,10281,38,3,3
10879,11675,38,1,2
524521,10241,38,1,1
10421,10417,38,1,3
24994,10609,38,0,1
10867,10329,38,2,2
10867,10448,38,2,1
11367,12507,38,1,2
12957,10234,38,0,3
12628,10580,38,3,3
11883,10584,38,1,3
11762,12215,38,1,1
11762,13125,38,1,1
11762,12507,38,1,2
10719,12323,38,1,2
10353,10995,38,1,1
10995,10558,38,1,3
523528,10448,38,1,1
11532,21568,38,1,1
10719,10995,38,1,1
12525,10172,37,2,1
517329,10609,37,0,1
26448,523512,37,0,1
10098,10234,37,2,3
10719,12507,37,1,2
11507,10448,37,1,1
524521,12323,37,1,2
11043,11532,37,2,1
10353,12323,37,1,2
10644,11017,37,1,1
11532,10719,37,1,1
520606,11017,37,1,1
11762,520606,37,1,1
13367,11883,37,1,1
12769,12041,37,2,2
11125,12020,37,2,2
555383,11118,37,2,2
11367,11017,37,1,1
11018,523385,37,1,2
11055,12262,37,0,2
10241,12323,37,1,2
12423,12525,37,1,2
10898,10719,37,1,1
523512,47042,37,1,2
10448,10780,36,1,2
11601,12444,36,1,2
555383,523512,36,2,1
10417,12628,36,3,3
10353,13111,36,1,2
12018,10283,36,2,3
12525,10082,36,2,2
11762,523672,36,1,2
523528,10082,36,1,2
12215,10580,36,1,3
31440,15306,36,2,3
15266,11675,36,1,2
10879,10923,36,1,3
13367,23112,36,1,2
12444,10283,36,2,3
10719,11675,36,1,2
11507,10353,35,1,1
10879,10001,35,1,3
10445,11043,35,0,2
11762,10583,35,1,2
10719,10283,35,1,3
10241,23112,35,1,2
10353,10879,35,1,1
10353,13271,35,1,1
12018,11017,35,2,1
11018,555383,35,1,2
11654,12041,35,1,2
555383,12276,35,2,1
11507,11017,34,1,1
10172,10780,34,1,2
11883,10001,34,1,3
10936,10224,34,0,1
12020,10172,34,2,1
517374,12276,34,0,1
10364,10448,34,1,1
11927,10364,34,1,1
11762,13367,34,1,1
11762,11303,34,1,1
26808,13271,34,0,1
520606,10583,34,1,2
12957,10417,34,0,3
22607,12444,34,2,2
11043,10448,34,2,1
10098,15306,34,2,3
523528,520188,33,1,2
25013,12276,33,0,1
12769,10417,33,2,3
12769,10241,33,2,1
10780,10998,33,2,2
14551,10558,33,2,3
23112,10283,33,2,3
10609,10494,33,1,2
523512,10224,33,1,1
10995,521375,33,1,2
10579,10417,33,0,3
10297,10082,33,2,2
10224,14833,33,1,0
11532,10353,33,1,1
11303,13125,33,1,1
11303,10353,33,1,1
524521,14551,33,1,2
10082,10558,33,2,3
11675,15306,33,2,3
13271,12507,33,1,2
21568,10609,33,1,1
10644,12018,32,1,2
13271,12488,32,1,1
10421,523385,32,1,2
11303,12215,32,1,1
521375,12041,32,2,2
13367,10879,32,1,1
10879,13125,32,1,1
10281,10131,32,3,3
12020,523512,32,2,1
12885,10281,32,3,3
555383,11017,32,2,1
11532,11883,32,1,1
11601,12525,32,1,2
524521,11125,32,1,2
524521,21568,32,1,1
10898,12423,32,1,1
10297,12628,32,2,3
12444,21568,32,2,1
11883,10583,32,1,2
11507,11654,32,1,1
10172,10494,32,1,2
11762,13080,32,1,1
11762,13271,32,1,1
10421,10609,32,1,1
23112,10879,32,2,1
523512,10494,32,1,2
523512,10421,32,1,1
12215,10115,31,1,2
12215,11675,31,1,2
23112,11601,31,2,1
12276,47042,31,1,2
10082,12215,31,2,1
12276,555383,31,1,2
12769,10580,31,2,3
12957,11927,31,0,1
10936,11125,31,0,2
523528,12525,31,1,2
523528,31440,31,1,2
12020,10417,31,2,3
12020,10421,31,2,1
12020,11303,31,2,1
12018,10329,31,2,2
12018,523528,31,2,1
10228,10923,31,3,3
12444,10719,31,2,1
12444,11017,31,2,1
13125,10879,31,1,1
13125,11675,31,1,2
10579,11240,31,0,2
10580,10274,31,3,3
10353,13080,31,1,1
10719,14551,31,1,2
520188,11367,31,2,1
520606,523385,31,1,2
521375,10091,31,2,3
520606,12423,30,1,1
10224,47042,30,1,2
11303,555383,30,1,2
517329,12276,30,0,1
12444,12525,30,2,2
11303,11367,30,1,1
12628,10301,30,3,3
21568,12507,30,1,2
10231,11507,30,0,1
522346,523528,30,1,1
11883,524521,30,1,1
10091,10301,30,3,3
11507,11727,30,1,2
10867,11654,30,2,1
12423,22607,30,1,2
10609,10879,30,1,1
10898,10297,30,1,2
12957,520188,30,0,2
10995,12020,30,1,2
10995,10494,30,1,2
11601,11532,29,1,1
11507,10283,29,1,3
10867,520188,29,2,2
12957,10923,29,0,3
522346,12276,29,1,1
523385,12885,29,2,3
10082,11675,29,2,2
10082,11727,29,2,2
10364,11043,29,1,2
10609,13125,29,1,1
14789,10329,29,1,2
10995,47042,29,1,2
12423,10353,29,1,1
10995,22607,29,1,2
14551,10329,29,2,2
555383,11125,29,2,2
11303,11654,29,1,1
12769,10091,29,2,3
10580,10923,29,3,3
10115,11927,29,2,1
12215,11367,29,1,1
12215,11927,29,1,1
11727,14551,29,2,2
22607,12885,29,2,3
10224,11927,29,1,1
11927,11675,28,1,2
11043,10898,28,2,1
11762,21568,28,1,1
522346,11927,28,1,1
10091,11133,28,3,3
12444,11532,28,2,1
524521,11367,28,1,1
12525,10115,28,2,2
11532,11601,28,1,1
11507,555383,28,1,2
10867,11507,28,2,1
11367,14551,28,1,2
10494,10609,28,2,1
10879,21568,28,1,1
21568,12769,28,1,2
31440,10558,28,2,3
10609,13367,28,1,1
11303,520188,28,1,2
521375,12525,28,2,2
33650,13271,28,0,1
10609,12323,28,1,2
10241,10297,28,1,2
11727,10082,28,2,2
11018,10417,28,1,3
11303,10283,28,1,3
11303,10448,28,1,1
11303,11727,28,1,2
520606,11654,28,1,1
10353,10867,28,1,2
11303,13271,28,1,1
13271,524521,28,1,1
11507,12423,27,1,1
11507,13125,27,1,1
11507,12020,27,1,2
10353,10082,27,1,2
10417,10131,27,3,3
10353,12444,27,1,2
10879,10995,27,1,1
10879,14789,27,1,1
12020,11507,27,2,1
12769,11675,27,2,2
11133,12628,27,3,3
11133,10297,27,3,2
