task,seed,method,lr,eta,alpha,validation_mse,runtime_seconds,residual,test_mse,r2,noisy_input_mse,initial_test_mse
linear,1317,pc,0.003,0.05,0.0,0.5756836292541495,0.8613735729995824,0.09463151844914983,0.5779181748857539,0.45022650451660906,0.6066544693892353,1.241561397103727
linear,1317,pcalm,0.003,0.05,0.2,0.593939521851496,0.87011094799891,0.07556307573087752,0.5891333477017234,0.4395575118643106,0.6169093236134519,1.241561397103727
linear,1318,pc,0.003,0.05,0.0,0.5084655590936662,0.8474817729984352,0.09432584487294074,0.548937774379703,0.474933463328034,0.5752454934694963,1.3298663305285336
linear,1318,pcalm,0.003,0.05,0.2,0.5274166916409762,0.8635330189972592,0.07649842455544938,0.5635185676791937,0.46098673384973476,0.5908674472716523,1.3298663305285336
linear,1319,pc,0.003,0.05,0.0,0.5111612126492363,0.8524286339998071,0.09341817962022425,0.5011975672555212,0.5274479165766339,0.5297421040110462,1.4116867442612617
linear,1319,pcalm,0.003,0.05,0.2,0.5182432005073296,0.8817466840009729,0.07484021266143669,0.5137592729109146,0.5156041636005128,0.5420498928102778,1.4116867442612617
linear,1300,pc,0.006,0.05,0.0,0.47375722462174497,0.9813131560003967,0.061596182506661525,0.45883461479908255,0.5139360079863556,0.48594519457936824,1.200270631665706
linear,1300,pcalm,0.006,0.05,0.2,0.4901831752437471,0.8667206099999021,0.04972207759947459,0.4769186564061682,0.49477877535444126,0.5040593830187742,1.200270631665706
linear,1301,pc,0.006,0.05,0.0,0.5101797851354012,0.8496318280012929,0.06368300876852898,0.5390683624086692,0.4834271596784353,0.5617864603123496,1.5055198716216889
linear,1301,pcalm,0.006,0.05,0.2,0.527618231418277,0.8633938939965446,0.05195952345045145,0.5646448930364129,0.4589179471308644,0.5855921195601906,1.5055198716216889
linear,1302,pc,0.006,0.05,0.0,0.5849202792204329,0.9471294729992223,0.06879889464274316,0.5748582222084383,0.4122090559583098,0.605900995840459,1.2901606177320233
linear,1302,pcalm,0.006,0.05,0.2,0.6083595347123929,0.8721027489991684,0.055215922390536666,0.597319812869647,0.38924214156208026,0.629243614306353,1.2901606177320233
linear,1303,pc,0.006,0.05,0.0,0.5754445513871436,0.9132194090016128,0.06946116779368346,0.5881467112653952,0.41422698300817684,0.6130535741071579,1.2812708918272089
linear,1303,pcalm,0.006,0.05,0.2,0.6099255119906423,0.8315298729976348,0.05363024087486293,0.6181730846808672,0.38432179267384314,0.6467814938167639,1.2812708918272089
linear,1304,pc,0.006,0.05,0.0,0.4869009162952107,0.8406799020012841,0.06801303050476826,0.5006672715898022,0.5132674786359293,0.5273480568653378,1.410811242029613
linear,1304,pcalm,0.006,0.05,0.2,0.4997432432868459,0.8425837869981478,0.0544205150144425,0.5156200589122318,0.4987308626279434,0.543406548433237,1.410811242029613
