seed,graph,method,edges,initial_mse,test_mse,accuracy,occluded_mse,shuffled_mse,seconds,status
3105,full,bp,2663,0.5000534169488616,0.5016697435489069,0.3203125,0.5011594295695571,0.5034055423844968,0.10989134300325532,ok
3105,full,pc,2663,0.5000534169488616,0.5025085546902487,0.2890625,0.5012718394079532,0.5024635277973819,0.6203124720050255,ok
3105,full,alm,2663,0.5000534169488616,0.5034914068995291,0.3125,0.5020750655827353,0.5032216538921984,0.6328399760022876,ok
3106,forward,bp,1001,0.4999581920421779,0.5215216924752062,0.2109375,0.5158480995914684,0.5165486142670435,0.10759389799932251,ok
3106,forward,pc,1001,0.4999581920421779,0.5282390749649583,0.21875,0.5198569698341695,0.5216393045482157,0.6369423949945485,ok
3106,forward,alm,1001,0.4999581920421779,0.5306835337234439,0.21875,0.5215515458307555,0.523253811446498,0.6250255830018432,ok
3106,full,bp,2663,0.5005943203993187,0.5293629447805741,0.2421875,0.5225404945803322,0.5211681874535803,0.10835609099740395,ok
3106,full,pc,2663,0.5005943203993187,0.5327071393963188,0.25,0.5246113363874315,0.5220759566583704,0.6313547040044796,ok
3106,full,alm,2663,0.5005943203993187,0.5346557807897092,0.265625,0.5261452384089651,0.5230001956789847,0.6174551049989532,ok
3107,forward,bp,1001,0.4999883825542123,0.5320335341582298,0.2109375,0.5268787765082963,0.529255554040205,0.10773380700265989,ok
3107,forward,pc,1001,0.4999883825542123,0.5135594467482535,0.1796875,0.5102323658797223,0.5113214045861192,0.6214783269970212,ok
3107,forward,alm,1001,0.4999883825542123,0.5146291773718108,0.1640625,0.5108319164576953,0.5119884287527239,0.6232067550008651,ok
3107,full,bp,2663,0.4997046118990962,0.5371564428488378,0.1875,0.5240389175278042,0.5324529167512891,0.10694956200313754,ok
3107,full,pc,2663,0.4997046118990962,0.5560854624842678,0.203125,0.5301912688798202,0.5452839186830021,0.6154809789950377,ok
3107,full,alm,2663,0.4997046118990962,0.5583341180604986,0.203125,0.531191314360933,0.546919635051256,0.6132577470052638,ok
3108,forward,bp,1001,0.5000809516170903,0.49475284747246084,0.28125,0.49539677230125895,0.49276271294112917,0.11632958300469909,ok
3108,forward,pc,1001,0.5000809516170903,0.5006103446686235,0.1953125,0.5006745601155767,0.4949594755787913,0.6630895529960981,ok
3108,forward,alm,1001,0.5000809516170903,0.5038477014319334,0.21875,0.5034092578724887,0.4965884832736952,0.6472093749980559,ok
3108,full,bp,2663,0.4999678141416624,0.4982585072473491,0.2890625,0.4985783918332637,0.49685879747538886,0.11444794300041394,ok
3108,full,pc,2663,0.4999678141416624,0.4994682010992301,0.28125,0.49905945911556293,0.49860343446125643,0.6245276250047027,ok
3108,full,alm,2663,0.4999678141416624,0.5013251393200606,0.2890625,0.5006161673860661,0.5003682615803409,0.6287537830066867,ok
3109,forward,bp,1001,0.5000560721991829,0.5168103574234171,0.28125,0.5147385872468482,0.5079874420216005,0.11025420499936445,ok
3109,forward,pc,1001,0.5000560721991829,0.5316904478440674,0.234375,0.5274276071032155,0.5166522392896762,0.6350658339943038,ok
3109,forward,alm,1001,0.5000560721991829,0.5357540310627493,0.234375,0.5308121193892124,0.5189659512573113,0.6250726799989934,ok
